antecedents_str,consequents_str,rule_str,support,confidence,lift,strength
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN  →  WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0238,0.7014,22.2469,Very Strong
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN  →  WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0238,0.7551,22.2469,Very Strong
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL  →  FELTCRAFT PRINCESS LOLA DOLL,0.0172,0.5863,21.9563,Very Strong
FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL  →  FELTCRAFT PRINCESS CHARLOTTE DOLL,0.0172,0.6446,21.9563,Very Strong
JUMBO BAG PEARS,"JUMBO BAG APPLES, JUMBO BAG VINTAGE LEAF","JUMBO BAG PEARS  →  JUMBO BAG APPLES, JUMBO BAG VINTAGE LEAF",0.0135,0.401,19.4729,Very Strong
"JUMBO BAG APPLES, JUMBO BAG VINTAGE LEAF",JUMBO BAG PEARS,"JUMBO BAG APPLES, JUMBO BAG VINTAGE LEAF  →  JUMBO BAG PEARS",0.0135,0.6562,19.4729,Very Strong
WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG","WOODLAND CHARLOTTE BAG  →  CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG",0.0101,0.3281,19.2409,Very Strong
"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG",WOODLAND CHARLOTTE BAG,"CHARLOTTE BAG SUKI DESIGN, STRAWBERRY CHARLOTTE BAG  →  WOODLAND CHARLOTTE BAG",0.0101,0.5896,19.2409,Very Strong
PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER","PINK REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",0.0184,0.4731,18.383,Very Strong
"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER",PINK REGENCY TEACUP AND SAUCER,"GREEN REGENCY TEACUP AND SAUCER, REGENCY CAKESTAND 3 TIER  →  PINK REGENCY TEACUP AND SAUCER",0.0184,0.7156,18.383,Very Strong
