antecedents_str,consequents_str,rule_str,support,confidence,lift,strength
WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN  →  WOODEN STAR CHRISTMAS SCANDINAVIAN,0.0238,0.7014,22.2469,Very Strong
WOODEN STAR CHRISTMAS SCANDINAVIAN,WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN STAR CHRISTMAS SCANDINAVIAN  →  WOODEN HEART CHRISTMAS SCANDINAVIAN,0.0238,0.7551,22.2469,Very Strong
FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL  →  FELTCRAFT PRINCESS LOLA DOLL,0.0172,0.5863,21.9563,Very Strong
FELTCRAFT PRINCESS LOLA DOLL,FELTCRAFT PRINCESS CHARLOTTE DOLL,FELTCRAFT PRINCESS LOLA DOLL  →  FELTCRAFT PRINCESS CHARLOTTE DOLL,0.0172,0.6446,21.9563,Very Strong
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER  →  GREEN REGENCY TEACUP AND SAUCER,0.0324,0.8326,17.0268,Very Strong
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER  →  PINK REGENCY TEACUP AND SAUCER,0.0324,0.6628,17.0268,Very Strong
IVORY DINER WALL CLOCK,RED DINER WALL CLOCK,IVORY DINER WALL CLOCK  →  RED DINER WALL CLOCK,0.0142,0.5028,16.9426,Very Strong
RED DINER WALL CLOCK,IVORY DINER WALL CLOCK,RED DINER WALL CLOCK  →  IVORY DINER WALL CLOCK,0.0142,0.4797,16.9426,Very Strong
SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX  →  DOLLY GIRL LUNCH BOX,0.0252,0.6235,16.6353,Very Strong
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,DOLLY GIRL LUNCH BOX  →  SPACEBOY LUNCH BOX,0.0252,0.6717,16.6353,Very Strong
CHILDRENS APRON SPACEBOY DESIGN,PINK FAIRY CAKE CHILDRENS APRON,CHILDRENS APRON SPACEBOY DESIGN  →  PINK FAIRY CAKE CHILDRENS APRON,0.0134,0.4575,16.024,Very Strong
PINK FAIRY CAKE CHILDRENS APRON,CHILDRENS APRON SPACEBOY DESIGN,PINK FAIRY CAKE CHILDRENS APRON  →  CHILDRENS APRON SPACEBOY DESIGN,0.0134,0.4704,16.024,Very Strong
STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX  →  SWEETHEART CERAMIC TRINKET BOX,0.0146,0.4249,15.4011,Very Strong
SWEETHEART CERAMIC TRINKET BOX,STRAWBERRY CERAMIC TRINKET BOX,SWEETHEART CERAMIC TRINKET BOX  →  STRAWBERRY CERAMIC TRINKET BOX,0.0146,0.5277,15.4011,Very Strong
BLUE HARMONICA IN BOX,RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX  →  RED  HARMONICA IN BOX,0.018,0.5283,15.2399,Very Strong
RED  HARMONICA IN BOX,BLUE HARMONICA IN BOX,RED  HARMONICA IN BOX  →  BLUE HARMONICA IN BOX,0.018,0.5197,15.2399,Very Strong
IVORY KITCHEN SCALES,RED KITCHEN SCALES,IVORY KITCHEN SCALES  →  RED KITCHEN SCALES,0.0168,0.4239,15.1459,Very Strong
RED KITCHEN SCALES,IVORY KITCHEN SCALES,RED KITCHEN SCALES  →  IVORY KITCHEN SCALES,0.0168,0.6006,15.1459,Very Strong
JUMBO BAG VINTAGE CHRISTMAS,JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE CHRISTMAS  →  JUMBO BAG 50'S CHRISTMAS,0.0188,0.6482,15.1202,Very Strong
JUMBO BAG 50'S CHRISTMAS,JUMBO BAG VINTAGE CHRISTMAS,JUMBO BAG 50'S CHRISTMAS  →  JUMBO BAG VINTAGE CHRISTMAS,0.0188,0.439,15.1202,Very Strong
