"customerid","lifetime_spend","total_orders","avg_order_value","days_since_purchase","unique_products_bought","active_months","first_purchase","last_purchase"
14646,"160824.60",64,"2512.88",2,"602","13","2010-12-20 10:09:00","2011-12-07 15:19:00"
14911,"134790.90",201,"670.60",1,"1785","13","2010-12-01 14:05:00","2011-12-08 15:54:00"
18102,"75612.82",45,"1680.28",1,"129","10","2010-12-07 16:42:00","2011-12-08 18:43:00"
17511,"73107.24",30,"2436.91",3,"394","13","2010-12-01 10:19:00","2011-12-07 10:12:00"
14156,"72963.09",54,"1351.17",10,"685","12","2010-12-03 11:48:00","2011-11-30 10:54:00"
12415,"67354.37",16,"4209.65",25,"342","11","2011-01-06 11:12:00","2011-11-15 10:32:00"
14096,"65164.79",17,"3833.22",4,"1119","5","2011-08-30 10:49:00","2011-12-05 17:17:00"
15311,"56591.06",91,"621.88",1,"567","13","2010-12-01 09:41:00","2011-12-09 12:00:00"
13089,"55953.91",96,"582.85",3,"633","13","2010-12-05 10:27:00","2011-12-07 09:02:00"
14088,"50491.81",13,"3883.99",10,"379","6","2011-01-21 13:07:00","2011-11-29 16:16:00"
14298,"47357.23",42,"1127.55",8,"869","13","2010-12-14 12:59:00","2011-12-01 13:12:00"
17841,"40913.17",124,"329.94",2,"1322","13","2010-12-01 14:41:00","2011-12-08 12:07:00"
13694,"40786.66",48,"849.72",4,"288","13","2010-12-01 12:12:00","2011-12-06 09:32:00"
15061,"37154.58",47,"790.52",4,"60","13","2010-12-02 15:19:00","2011-12-06 12:06:00"
13798,"31591.87",55,"574.40",1,"102","13","2010-12-10 15:31:00","2011-12-08 15:51:00"
12748,"31320.93",209,"149.86",1,"1762","13","2010-12-01 12:48:00","2011-12-09 12:20:00"
13081,"28246.66",11,"2567.88",12,"502","7","2010-12-03 17:20:00","2011-11-28 10:54:00"
13098,"27245.40",28,"973.05",1,"156","12","2011-01-26 13:46:00","2011-12-08 14:14:00"
13408,"26632.08",62,"429.55",2,"228","13","2010-12-01 10:39:00","2011-12-08 09:05:00"
17450,"26157.08",32,"817.41",8,"94","12","2010-12-07 09:23:00","2011-12-01 13:29:00"
17389,"25930.18",33,"785.76",1,"45","11","2011-01-12 15:48:00","2011-12-09 09:38:00"
14680,"25633.61",16,"1602.10",25,"73","11","2010-12-03 12:05:00","2011-11-14 16:59:00"
16422,"25042.12",50,"500.84",17,"59","12","2010-12-05 15:35:00","2011-11-22 14:00:00"
16684,"23716.30",17,"1395.08",4,"76","9","2010-12-16 17:34:00","2011-12-05 14:06:00"
12753,"20649.87",6,"3441.64",23,"130","6","2010-12-12 11:44:00","2011-11-17 10:52:00"
17675,"20374.28",31,"657.23",1,"239","13","2010-12-07 13:22:00","2011-12-08 18:03:00"
12471,"19824.05",30,"660.80",2,"150","12","2010-12-10 09:35:00","2011-12-07 15:43:00"
15039,"19511.24",47,"415.13",10,"408","12","2010-12-06 11:26:00","2011-11-30 11:31:00"
15159,"18641.01",30,"621.37",2,"363","12","2010-12-13 15:44:00","2011-12-08 12:05:00"
16013,"17660.62",33,"535.17",4,"25","13","2010-12-03 13:09:00","2011-12-06 10:36:00"
12731,"17307.45",12,"1442.29",24,"107","10","2010-12-10 10:56:00","2011-11-16 11:59:00"
15838,"16992.88",19,"894.36",11,"50","10","2010-12-07 11:26:00","2011-11-28 14:00:00"
12921,"16587.09",37,"448.30",9,"233","11","2010-12-01 15:06:00","2011-11-30 16:22:00"
17677,"16363.23",30,"545.44",2,"178","13","2010-12-06 08:42:00","2011-12-08 09:56:00"
17428,"16304.29",28,"582.30",1,"250","13","2010-12-06 09:37:00","2011-12-09 09:45:00"
15189,"15719.95",41,"383.41",1,"80","12","2011-01-11 12:29:00","2011-12-08 13:22:00"
14051,"15610.39",23,"678.71",1,"52","13","2010-12-08 12:49:00","2011-12-09 10:20:00"
16839,"15537.39",34,"456.98",9,"113","12","2010-12-05 11:15:00","2011-12-01 09:03:00"
15856,"15531.41",27,"575.24",4,"295","11","2010-12-09 13:34:00","2011-12-05 17:09:00"
13767,"15389.96",37,"415.94",2,"55","12","2010-12-01 10:47:00","2011-12-07 15:00:00"
15513,"14215.18",18,"789.73",33,"180","10","2010-12-01 11:22:00","2011-11-06 14:36:00"
12681,"13787.54",22,"626.71",15,"267","10","2010-12-07 10:08:00","2011-11-25 11:33:00"
16705,"13601.55",20,"680.08",1,"131","9","2010-12-16 10:51:00","2011-12-09 12:08:00"
12540,"13400.24",17,"788.25",20,"277","11","2010-12-13 09:39:00","2011-11-20 11:31:00"
15498,"13316.40",27,"493.20",3,"360","11","2010-12-08 12:29:00","2011-12-07 12:48:00"
12477,"13219.74",6,"2203.29",23,"191","5","2011-02-11 12:45:00","2011-11-17 09:51:00"
17735,"13110.02",19,"690.00",2,"319","13","2010-12-07 10:32:00","2011-12-07 16:47:00"
12621,"13109.47",20,"655.47",2,"260","12","2010-12-09 10:16:00","2011-12-08 11:25:00"
12433,"12856.51",7,"1836.64",1,"219","5","2010-12-01 13:24:00","2011-12-09 10:02:00"
16133,"12712.24",33,"385.22",4,"215","11","2011-01-25 15:55:00","2011-12-06 11:24:00"
13777,"12627.52",29,"435.43",1,"36","13","2010-12-01 16:01:00","2011-12-09 12:25:00"
17340,"12336.01",11,"1121.46",30,"228","7","2010-12-08 15:56:00","2011-11-10 10:45:00"
14031,"12308.78",17,"724.05",7,"118","11","2010-12-02 16:34:00","2011-12-02 17:13:00"
13881,"12198.88",19,"642.05",4,"69","11","2011-02-01 10:14:00","2011-12-06 12:50:00"
14606,"12156.65",93,"130.72",1,"819","13","2010-12-01 16:57:00","2011-12-08 19:28:00"
15640,"12051.66",15,"803.44",4,"239","10","2010-12-02 15:40:00","2011-12-05 14:35:00"
12682,"11901.58",31,"383.92",4,"209","13","2010-12-03 13:59:00","2011-12-06 10:00:00"
13078,"11515.94",26,"442.92",3,"94","13","2010-12-08 09:07:00","2011-12-06 15:36:00"
14194,"11349.52",21,"540.45",5,"269","10","2011-02-04 14:51:00","2011-12-05 10:38:00"
14258,"11206.22",9,"1245.14",9,"55","8","2011-01-06 12:18:00","2011-11-30 15:27:00"
14895,"11073.91",20,"553.70",8,"273","10","2011-02-22 13:08:00","2011-12-02 09:23:00"
17581,"11045.04",25,"441.80",1,"229","10","2010-12-02 14:47:00","2011-12-09 12:21:00"
15125,"10888.64",15,"725.91",25,"99","8","2011-03-14 09:59:00","2011-11-14 13:57:00"
13319,"10845.55",26,"417.14",5,"209","13","2010-12-09 10:04:00","2011-12-04 13:34:00"
17404,"10725.06",12,"893.76",4,"59","10","2010-12-17 10:54:00","2011-12-05 16:26:00"
17139,"10668.47",12,"889.04",16,"309","8","2011-02-24 09:32:00","2011-11-24 10:12:00"
16779,"10629.72",22,"483.17",2,"161","12","2010-12-08 09:56:00","2011-12-07 14:54:00"
13113,"10545.96",24,"439.41",1,"95","11","2010-12-08 13:21:00","2011-12-09 12:49:00"
17865,"10526.32",20,"526.32",31,"191","11","2010-12-10 14:53:00","2011-11-09 12:08:00"
14769,"10509.75",8,"1313.72",3,"718","8","2010-12-17 11:40:00","2011-12-07 10:24:00"
17706,"10504.49",17,"617.91",4,"270","7","2010-12-08 11:02:00","2011-12-05 13:34:00"
17107,"10453.51",6,"1742.25",33,"268","5","2011-03-06 15:17:00","2011-11-06 14:14:00"
16525,"10429.45",26,"401.13",2,"66","12","2010-12-08 11:31:00","2011-12-07 15:07:00"
15615,"10399.74",23,"452.16",10,"184","10","2010-12-15 16:21:00","2011-11-29 14:42:00"
12971,"10347.59",86,"120.32",4,"93","13","2010-12-02 16:42:00","2011-12-06 12:20:00"
14062,"10139.65",12,"844.97",10,"57","8","2010-12-10 15:56:00","2011-11-30 10:04:00"
14607,"9756.54",12,"813.05",16,"31","3","2011-03-23 15:22:00","2011-11-24 10:35:00"
