"CustomerID","Segment","Lifetime_Spend_GBP","Historical_Orders","Days_Silent","Avg_Order_Value_GBP","R_Score","M_Score","Last_Seen","Est_Annual_Revenue_At_Risk","Action"
15098,"At Risk","39916.50",3,182,"13305.50",1,5,"2011-06-10","39917","Win-back email. Renewal discount."
13093,"At Risk","7832.47",8,276,"979.06",1,5,"2011-03-09","7832","Win-back email. Renewal discount."
17850,"At Risk","5391.21",34,372,"158.57",1,5,"2010-12-02","5391","Win-back email. Renewal discount."
15808,"At Risk","3734.97",4,306,"933.74",1,5,"2011-02-06","3735","Win-back email. Renewal discount."
15032,"At Risk","3639.10",3,256,"1213.03",1,5,"2011-03-28","3639","Win-back email. Renewal discount."
17230,"At Risk","3638.41",8,264,"454.80",1,5,"2011-03-20","3638","Win-back email. Renewal discount."
13952,"At Risk","3251.07",2,218,"1625.54",1,5,"2011-05-06","3251","Win-back email. Renewal discount."
17504,"At Risk","2997.03",9,206,"333.00",1,5,"2011-05-17","2997","Win-back email. Renewal discount."
15235,"At Risk","2247.51",12,218,"187.29",1,5,"2011-05-06","2247","Win-back email. Renewal discount."
17406,"At Risk","2200.42",3,333,"733.47",1,5,"2011-01-10","2200","Win-back email. Renewal discount."
18231,"At Risk","2083.27",5,192,"416.65",1,5,"2011-05-31","2083","Win-back email. Renewal discount."
12383,"At Risk","1798.72",5,185,"359.74",1,4,"2011-06-08","1799","Win-back email. Renewal discount."
14245,"At Risk","1693.45",2,220,"846.72",1,4,"2011-05-04","1693","Win-back email. Renewal discount."
17152,"At Risk","1689.50",3,195,"563.17",1,4,"2011-05-29","1690","Win-back email. Renewal discount."
15332,"At Risk","1661.06",4,366,"415.26",1,4,"2010-12-08","1661","Win-back email. Renewal discount."
14573,"At Risk","1653.42",9,180,"183.71",1,4,"2011-06-13","1653","Win-back email. Renewal discount."
12868,"At Risk","1607.06",6,186,"267.84",1,4,"2011-06-07","1607","Win-back email. Renewal discount."
14442,"At Risk","1589.82",2,205,"794.91",1,4,"2011-05-19","1590","Win-back email. Renewal discount."
16889,"At Risk","1578.67",3,195,"526.22",1,4,"2011-05-29","1579","Win-back email. Renewal discount."
