"customerid","lifetime_spend","past_orders","days_inactive","avg_order_value","reactivation_tier","last_purchase"
12590,"9474.26",2,211,"4737.13","High Value — Priority Reactivation","12 May 2011"
12435,"7120.45",2,80,"3560.22","High Value — Priority Reactivation","21 Sep 2011"
12688,"4873.81",1,114,"4873.81","High Value — Priority Reactivation","18 Aug 2011"
12752,"4366.78",1,81,"4366.78","High Value — Priority Reactivation","19 Sep 2011"
12378,"3948.14",1,130,"3948.14","High Value — Priority Reactivation","02 Aug 2011"
12758,"2791.59",2,117,"1395.80","High Value — Priority Reactivation","15 Aug 2011"
12625,"2683.82",2,212,"1341.91","High Value — Priority Reactivation","12 May 2011"
14439,"2661.24",1,320,"2661.24","High Value — Priority Reactivation","24 Jan 2011"
12653,"2209.85",2,149,"1104.93","High Value — Priority Reactivation","14 Jul 2011"
12501,"2169.39",1,337,"2169.39","High Value — Priority Reactivation","07 Jan 2011"
17846,"2033.10",1,85,"2033.10","High Value — Priority Reactivation","15 Sep 2011"
15341,"2020.52",1,81,"2020.52","High Value — Priority Reactivation","20 Sep 2011"
17597,"1983.89",1,214,"1983.89","High Value — Priority Reactivation","10 May 2011"
12585,"1901.86",2,234,"950.93","High Value — Priority Reactivation","19 Apr 2011"
17940,"1867.86",1,245,"1867.86","High Value — Priority Reactivation","08 Apr 2011"
14459,"1837.92",1,155,"1837.92","High Value — Priority Reactivation","07 Jul 2011"
16152,"1829.04",1,269,"1829.04","High Value — Priority Reactivation","16 Mar 2011"
12405,"1710.39",1,149,"1710.39","High Value — Priority Reactivation","14 Jul 2011"
15947,"1708.24",1,83,"1708.24","High Value — Priority Reactivation","18 Sep 2011"
16902,"1706.88",1,116,"1706.88","High Value — Priority Reactivation","15 Aug 2011"
12764,"1693.88",1,317,"1693.88","High Value — Priority Reactivation","27 Jan 2011"
12635,"1689.18",2,90,"844.59","High Value — Priority Reactivation","11 Sep 2011"
12967,"1660.90",2,358,"830.45","High Value — Priority Reactivation","16 Dec 2010"
12377,"1628.12",2,315,"814.06","High Value — Priority Reactivation","28 Jan 2011"
12424,"1608.32",2,163,"804.16","High Value — Priority Reactivation","30 Jun 2011"
13850,"1595.48",1,129,"1595.48","High Value — Priority Reactivation","02 Aug 2011"
13814,"1579.12",2,92,"789.56","High Value — Priority Reactivation","08 Sep 2011"
13659,"1573.20",2,206,"786.60","High Value — Priority Reactivation","18 May 2011"
14935,"1520.16",1,297,"1520.16","High Value — Priority Reactivation","15 Feb 2011"
15372,"1498.12",1,137,"1498.12","High Value — Priority Reactivation","25 Jul 2011"
13572,"1384.25",1,206,"1384.25","High Value — Priority Reactivation","18 May 2011"
12770,"1351.45",1,211,"1351.45","High Value — Priority Reactivation","13 May 2011"
13501,"1340.32",1,288,"1340.32","High Value — Priority Reactivation","24 Feb 2011"
17919,"1304.04",1,88,"1304.04","High Value — Priority Reactivation","12 Sep 2011"
15171,"1289.50",1,331,"1289.50","High Value — Priority Reactivation","12 Jan 2011"
14164,"1273.77",1,81,"1273.77","High Value — Priority Reactivation","20 Sep 2011"
17037,"1267.32",1,88,"1267.32","High Value — Priority Reactivation","13 Sep 2011"
14105,"1266.23",1,239,"1266.23","High Value — Priority Reactivation","14 Apr 2011"
13151,"1257.87",1,296,"1257.87","High Value — Priority Reactivation","17 Feb 2011"
15004,"1246.32",1,147,"1246.32","High Value — Priority Reactivation","15 Jul 2011"
13476,"1238.47",2,179,"619.23","High Value — Priority Reactivation","14 Jun 2011"
13791,"1226.00",2,128,"613.00","High Value — Priority Reactivation","04 Aug 2011"
12516,"1208.38",2,78,"604.19","High Value — Priority Reactivation","23 Sep 2011"
12769,"1143.60",1,239,"1143.60","High Value — Priority Reactivation","15 Apr 2011"
